date,unemployment_rate,employed_labour_force,labour_force_participation_rate,labour_cost_index,cpi,cpi_housing_household,cpi_qq,cpi_yy,production_based_gdp,production_based_gdp_qq,production_based_gdp_yy
2001-12,5.6,"1,868",66.3,813,723,549,0.6,1.8,"41,469",1.5,4
2002-03,5.3,"1,893",66.7,817,727,556,0.6,2.6,"39,639",0.9,4.5
2002-06,5.3,"1,905",66.7,821,734,560,1,2.8,"39,583",1.3,4.5
2002-09,5.5,"1,903",66.5,826,738,565,0.5,2.6,"40,492",1.2,5
2002-12,5.1,"1,918",66.2,830,742,572,0.6,2.7,"43,439",1.4,4.8
2003-03,5,"1,926",66.1,835,745,577,0.4,2.5,"41,439",0.6,4.5
2003-06,4.8,"1,942",66.1,839,745,585,0,1.5,"41,112",0.5,3.9
2003-09,4.5,"1,971",66.5,846,748,598,0.5,1.5,"42,426",2.2,4.8
2003-12,4.7,"1,973",66.4,850,754,611,0.7,1.6,"45,399",1.3,4.5
2004-03,4.3,"1,991",66.4,854,757,618,0.4,1.5,"43,814",1.7,5.7
2004-06,4.2,"2,006",66.6,859,763,626,0.8,2.4,"43,701",0.9,6.3
2004-09,3.9,"2,030",66.9,864,767,636,0.6,2.5,"44,262",0.3,4.3
2004-12,3.7,"2,064",67.7,871,774,646,0.9,2.7,"46,847",0.4,3.2
2005-03,3.9,"2,061",67.4,875,778,653,0.4,2.8,"45,003",1.2,2.7
2005-06,3.8,"2,071",67.4,882,784,662,0.9,2.8,"45,265",1.6,3.6
2005-09,3.8,"2,098",68.1,891,793,672,1.1,3.4,"45,918",0.5,3.7
2005-12,3.7,"2,099",67.8,898,799,679,0.7,3.2,"48,182",-0.4,2.8
2006-03,4.1,"2,120",68.4,904,803,685,0.6,3.3,"46,478",1.6,3.3
2006-06,3.7,"2,140",68.4,909,816,694,1.5,4,"46,265",0.4,2.2
2006-09,3.9,"2,133",68.1,919,821,708,0.7,3.5,"46,933",0.6,2.2
2006-12,3.8,"2,133",67.8,927,820,714,-0.2,2.6,"49,880",0.8,3.5
2007-03,3.9,"2,158",68.5,932,824,722,0.5,2.5,"47,929",1.3,3.1
2007-06,3.6,"2,169",68.5,939,832,731,1,2,"47,998",0.9,3.7
2007-09,3.6,"2,165",68.2,947,836,744,0.5,1.8,"48,739",0.8,3.8
2007-12,3.4,"2,179",68.4,957,846,751,1.2,3.2,"51,519",0.2,3.3
2008-03,3.8,"2,182",68.4,965,852,758,0.7,3.4,"48,591",-0.4,1.4
2008-06,3.8,"2,180",68.3,973,865,767,1.6,4,"48,177",-0.2,0.4
2008-09,4.1,"2,181",68.4,985,878,778,1.5,5.1,"48,357",-0.3,-0.8
2008-12,4.4,"2,194",68.9,991,874,783,-0.5,3.4,"50,728",-0.6,-1.5
2009-03,5,"2,154",67.9,997,877,785,0.3,3,"47,582",-0.9,-2.1
2009-06,5.8,"2,155",68.3,1000,882,789,0.6,1.9,"47,270",-0.1,-1.9
2009-09,6.2,"2,135",67.7,1005,893,794,1.3,1.7,"47,803",0.5,-1.1
2009-12,6.6,"2,137",67.8,1009,892,796,-0.2,2,"51,165",1.3,0.9
2010-03,5.9,"2,144",67.4,1012,895,798,0.4,2,"48,533",0.3,2
2010-06,6.6,"2,148",67.8,1016,896,802,0.2,1.7,"48,592",0.7,2.8
2010-09,6.1,"2,166",67.8,1021,906,813,1.1,1.5,"48,755",-0.2,2
2010-12,6.2,"2,158",67.5,1026,927,826,2.3,4,"51,281",-0.6,0.2
2011-03,6,"2,177",67.9,1031,935,830,0.8,4.5,"48,983",1,0.9
2011-06,6.1,"2,186",67.9,1035,944,838,1,5.3,"48,875",0.4,0.6
2011-09,6,"2,188",67.9,1041,948,843,0.4,4.6,"49,669",1.1,1.9
2011-12,6.1,"2,189",67.8,1047,945,846,-0.3,1.8,"52,896",0.6,3.1
2012-03,6.4,"2,191",68.1,1052,949,851,0.5,1.6,"50,310",0.6,2.7
2012-06,6.4,"2,194",68,1056,953,860,0.3,1,"50,253",0.6,2.8
2012-09,6.7,"2,184",67.9,1061,955,867,0.3,0.8,"50,624",0.2,1.9
2012-12,6.3,"2,189",67.5,1066,954,872,-0.2,0.9,"54,387",1.4,2.8
2013-03,5.8,"2,193",67.2,1070,958,876,0.4,0.9,"51,259",-0.3,1.9
2013-06,6,"2,205",67.5,1074,959,886,0.2,0.7,"51,410",1.1,2.3
2013-09,5.8,"2,239",68.1,1079,968,894,0.9,1.4,"52,033",0.6,2.8
2013-12,5.7,"2,258",68.3,1083,969,899,0.1,1.6,"55,335",0.4,1.7
2014-03,5.6,"2,281",68.6,1087,972,906,0.3,1.5,"53,093",1.5,3.6
2014-06,5.3,"2,290",68.3,1092,975,916,0.3,1.6,"52,890",0.4,2.9
2014-09,5.3,"2,315",68.6,1096,978,925,0.3,1,"53,988",1.3,3.8
2014-12,5.5,"2,346",69.3,1102,976,928,-0.2,0.8,"58,062",1.5,4.9
2015-03,5.5,"2,364",69.4,1105,975,933,-0.2,0.3,"55,038",0.3,3.7
2015-06,5.5,"2,366",69.1,1110,979,939,0.4,0.4,"55,009",0.8,4
2015-09,5.7,"2,357",68.4,1114,982,950,0.3,0.4,"55,984",1,3.7
2015-12,5,"2,387",68.3,1119,977,955,-0.5,0.1,"59,865",1,3.1
2016-03,5.3,"2,418",69,1123,979,960,0.2,0.4,"57,238",1.2,4
2016-06,5.1,"2,480",70,1127,983,970,0.4,0.4,"57,308",0.9,4.2
2016-09,5,"2,504",70.1,1132,986,981,0.3,0.4,"58,391",1,4.3
2016-12,5.3,"2,530",70.7,1137,990,986,0.4,1.3,"61,924",0.3,3.4
2017-03,4.9,"2,560",70.9,1141,1000,992,1,2.2,"59,093",1.1,3.2
2017-06,4.9,"2,558",70.4,1146,1000,1000,0,1.7,"59,207",0.8,3.3
2017-09,4.7,"2,606",71.2,1153,1005,1010,0.5,1.9,"60,209",0.8,3.1
2017-12,4.5,"2,622",71.2,1158,1006,1016,0.1,1.6,"64,199",0.9,3.7
2018-03,4.4,"2,635",71.1,1162,1011,1022,0.5,1.1,"61,099",1,3.4
2018-06,4.6,"2,653",71.2,1168,1015,1031,0.4,1.5,"61,441",1,3.8
2018-09,4,"2,675",71.1,1174,1024,1042,0.9,1.9,"62,116",0.1,3.2
2018-12,4.3,"2,678",70.9,1180,1025,1047,0.1,1.9,"66,490",1.5,3.6
2019-03,4.2,"2,670",70.6,1185,1026,1053,0.1,1.5,"63,160",0.9,3.4
2019-06,4.1,"2,686",70.6,1193,1032,1060,0.6,1.7,"63,087",0,2.7
2019-09,4.1,"2,696",70.6,1202,1039,1073,0.7,1.5,"64,242",0.8,3.4
2019-12,4.1,"2,705",70.4,1211,1044,1078,0.5,1.9,"68,251",1,2.6
2020-03,4.2,"2,733",70.7,1215,1052,1088,0.8,2.5,"63,503",-1.1,0.5
2020-06,4.1,"2,724",70,1218,1047,1094,-0.5,1.5,"56,953",-10.4,-9.7
2020-09,5.2,"2,699",70.1,1225,1054,1101,0.7,1.4,"65,687",14.1,2.2
2020-12,4.9,"2,714",70.2,1230,1059,1106,0.5,1.4,"69,210",0.4,1.4
2021-03,4.6,"2,732",70.4,1235,1068,1116,0.8,1.5,"66,437",2.1,4.6
2021-06,4,"2,756",70.6,1244,1082,1137,1.3,3.3,"67,201",0.9,18
2021-09,3.3,"2,799",71.1,1254,1106,1167,2.2,4.9,"65,082",-4.2,-0.9
2021-12,3.2,"2,799",71,1262,1122,1190,1.4,5.9,"70,928",4,2.5
2022-03,3.3,"2,795",71,1272,1142,1212,1.8,6.9,"66,768",0,0.5
2022-06,3.3,"2,786",70.9,1286,1161,1240,1.7,7.3,"67,737",1.1,0.8
2022-09,3.3,"2,827",71.7,1300,1186,1269,2.2,7.2,"69,804",2.1,7.3
2022-12,3.4,"2,842",71.8,1314,1203,1285,1.4,7.2,"73,079",0,3
2023-03,3.5,"2,877",72.1,1327,1218,1298,1.2,6.7,"68,793",-0.2,3
2023-06,3.7,"2,906",72.4,1341,1231,1314,1.1,6,"69,577",0.8,2.7
2023-09,3.9,"2,907",72,1356,1253,1336,1.8,5.6,"70,242",0.1,0.6
2023-12,4,"2,918",71.9,1370,1259,1347,0.5,4.7,"73,729",0.2,0.9
2024-03,4.4,"2,904",71.5,1382,1267,1357,0.6,4,"69,729",0.1,1.4
2024-06,4.7,"2,909",71.6,1398,1272,1372,0.4,3.3,"69,218",-0.9,-0.5
2024-09,4.9,"2,890",71.1,1407,1280,1398,0.6,2.2,"68,989",-1.1,-1.8
2024-12,5.1,"2,884",70.9,1415,1287,1405,0.5,2.2,"72,677",0.4,-1.4
2025-03,5.1,"2,884",70.7,1422,1299,1415,0.9,2.5,"69,365",0.9,-0.5
2025-06,5.2,"2,882",70.5,1431,1306,1427,0.5,2.7,"68,768",-0.9,-0.7
